subj,sel_side,cond,bout,amp_L,amp_R,mamp_L,mamp_R,asym
S4,R,ANE,1,44.05581487027884,84.79255042673046,71.92131188654146,164.66970102311586,-0.31616028237959215
S4,R,ANE,2,49.54601895283996,89.66607541733099,105.95017170705025,207.66250806406703,-0.28819375677094394
S4,R,ANE,3,44.79324846506362,80.94853281106715,85.43206644201102,139.14293870926727,-0.287535964411111
S4,R,ANE,4,44.73198387488037,90.81193616545252,51.13756882720518,164.62467194114834,-0.33996325528183124
S4,R,PLA,1,62.932011620371966,106.41613166303291,89.07091780387762,177.84019323342,-0.25677352700519324
S4,R,PLA,2,56.289953241770625,89.54185339175693,131.98363289903156,192.78170172792215,-0.22801541664739466
S4,R,PLA,3,55.200540741855335,87.77255983036598,92.72497273547293,184.094681241287,-0.22781921185277096
S4,R,PLA,4,39.31819026206511,92.27552802830851,83.23790238000109,184.02576079233398,-0.40243059056502817
PS13,R,ANE,1,46.172121620249385,82.82105161529087,54.198165466375656,82.80807042759825,-0.28411526808570414
PS13,R,ANE,2,45.02929699168153,78.4120326503596,52.31936879127753,123.70603988988329,-0.2704340252610861
PS13,R,ANE,3,42.99706044401064,85.78667247406729,62.23537131214855,182.07646395407562,-0.3322594481499903
PS13,R,ANE,4,44.34438507626897,83.34518543270045,37.39264474642835,107.59839009620235,-0.3054345018232449
PS13,R,PLA,1,53.2844001869291,89.9551753593368,68.09263109168316,102.69741662501147,-0.256010079843911
PS13,R,PLA,2,38.007512403826354,76.2653344351012,39.722407907883756,90.59101394579605,-0.33479363724262984
PS13,R,PLA,3,39.56436023565726,69.84968914118721,50.677477828540574,95.17702403730242,-0.276795613342312
PS13,R,PLA,4,46.87319320501944,86.67046967878527,44.539366796695596,129.77494547734423,-0.2980094720660226
PS6,R,ANE,1,79.25730691804823,72.10263240302176,120.79428542551105,169.99848392009537,0.04726927446667165
PS6,R,ANE,2,70.84800112645217,83.59033140445142,146.33776932120557,251.47326673569685,-0.08250756188039897
PS6,R,ANE,3,77.86958750027632,77.25187888568244,132.81825217951442,199.67412215972786,0.003982096282257616
PS6,R,ANE,4,69.50744214966011,77.51975426223731,166.26326196625632,204.2541865014972,-0.054495442395096884
PS6,R,PLA,1,76.59283080279107,54.972814428078586,137.54008446882074,63.39909590058265,0.16432873746618126
PS6,R,PLA,2,89.56543518474085,76.08886003644832,206.33415287550244,158.4170898405104,0.0813536113283263
PS6,R,PLA,3,85.42525399945353,75.0779642462995,165.8564164347127,138.59889045096637,0.06446780236712019
PS6,R,PLA,4,69.64508710349702,65.48523545512607,135.30631672955738,199.6829572470358,0.030783998510521292
PS11,R,ANE,1,25.504646493874265,53.2834095309843,21.57013186540143,85.50273268234947,-0.35257581464308696
PS11,R,ANE,2,26.43150994070051,57.53767915162595,30.42057275151555,91.785550223575,-0.37044741704868644
PS11,R,ANE,3,33.41900919193502,56.67329249612016,44.10840237752121,54.870370824687576,-0.258116208249434
PS11,R,ANE,4,33.8241339741586,55.892140445256885,43.47287150738427,84.30410747190199,-0.24597551128719528
PS11,R,PLA,1,37.14550805393952,53.78959714464539,42.548310854023754,62.90957011254371,-0.18303260390316997
PS11,R,PLA,2,28.35906682642779,55.03774050537436,28.870480419755012,55.25413294188963,-0.31990041984224415
PS11,R,PLA,3,29.72819352946707,52.840754795354876,30.73578436231497,71.41377808315768,-0.2799183195959323
PS11,R,PLA,4,27.825318401124335,49.90921070064997,35.09445924806906,67.66532980230409,-0.28409372970680646
PS14,R,ANE,1,44.906236870351144,75.61992480271317,54.40396755458374,124.7218485025666,-0.25483005105293915
PS14,R,ANE,2,42.65852102031712,81.49487620576394,90.67310549033927,109.82035011226566,-0.3128094442291114
PS14,R,ANE,3,32.17512910084662,79.66109302560224,46.32955178506009,91.62571983860278,-0.42460271834884294
PS14,R,ANE,4,37.56314991379672,71.68247065244654,48.027016491219754,108.14717253458892,-0.3123175149887183
PS14,R,PLA,1,39.208795142656406,81.29485572990885,44.26447267336137,84.06398224375403,-0.34925133207589576
